City,Country,Region,Total_Price_Events,Avg_Price_USD_Start,Avg_Price_USD_End,Total_Price_Hikes,Total_Price_Cuts,Net_Average_Inflation_Pct,Price_Volatility_Std,Max_Single_Hike_Pct,Cost_of_Living_Index,Hike_to_Cut_Ratio,Realized_Inflation_Rate_Pct
Sao Paulo,Brazil,South America,1850,8.653456216216217,9.917274162162162,1850,0,14.779265357009752,5.787910420526547,24.98047373892213,50,1850000000.0,14.604776569824237
Osaka,Japan,Asia,1988,0.31574230633802813,0.36140637575452716,1988,0,14.562065487802501,5.719782391893354,24.992155009792715,80,1988000000.0,14.462448807101538
Manchester,United Kingdom,Europe,1919,60.52131485148515,69.26671641479936,1919,0,14.60943199181359,5.676694215382859,24.98228137783815,75,1919000000.0,14.450118251354555
Delhi,India,Asia,1874,0.5941268516542156,0.6794365421558164,1874,0,14.582874566221488,5.69032354443825,24.953916838679795,38,1874000000.0,14.358834357355619
Mumbai,India,Asia,1808,0.5926882300884956,0.6770536725663716,1808,0,14.6260219883959,5.622783232514898,24.99993481452124,40,1808000000.0,14.234371157544201
Rio de Janeiro,Brazil,South America,1854,8.819239805825243,10.074029126213592,1854,0,14.558402580950442,5.648542919568272,24.97082037766745,55,1854000000.0,14.227862582436435
London,United Kingdom,Europe,1981,62.048584755174154,70.8732898536093,1981,0,14.537577340879885,5.570944153580575,24.966188274145676,90,1981000000.0,14.222250407893885
New York,USA,North America,1836,50.317549019607846,57.4708605664488,1836,0,14.50058351081243,5.757525756769124,24.98913407261477,100,1836000000.0,14.216335426142152
Tokyo,Japan,Asia,1939,0.3148338525012893,0.3595671273852501,1939,0,14.6825347300558,5.753333725249404,24.973585630583038,85,1939000000.0,14.208533970716378
Los Angeles,USA,North America,1838,49.36073449401523,56.36646354733406,1838,0,14.471237716471888,5.686647746280169,24.983519830987476,95,1838000000.0,14.192918977265698
