City,Country,Cuisine,Restaurant_Count,Avg_Rating,Avg_Popularity,Avg_Reviews,Avg_Price_Level,Avg_Menu_Price,Income_Level,COL_Index,Cuisine_Diversity,Total_City_Restaurants,Supply_Share_Pct,Demand_Score,Whitespace_Opportunity_Score,Market_Classification
Delhi,India,American,62,3.467741935483871,42.88709677419355,2337.3225806451615,2.467741935483871,57.012741935483874,14000,38,0.543,509,12.180746561886052,61.579149692067666,1.4485142530968316e-09,"📉 Declining / Overcrowded (Low Demand, High Supply)"
Delhi,India,Brazilian,42,3.6261904761904766,50.733333333333334,2424.7380952380954,2.2142857142857144,49.79452380952381,14000,38,0.543,509,8.25147347740668,66.54441229826051,12.191837497323025,"🔥 High Opportunity Whitespace (High Demand, Low Supply)"
Delhi,India,Burger,37,3.4594594594594597,53.3054054054054,2713.837837837838,2.4864864864864864,56.741621621621626,14000,38,0.543,509,7.269155206286837,67.110626775933,17.18358805841609,"🔥 High Opportunity Whitespace (High Demand, Low Supply)"
Delhi,India,Chinese,32,3.790625,53.265625,2653.21875,2.71875,59.37,14000,38,0.543,509,6.286836935166994,69.02146094088158,23.231569561602853,"🔥 High Opportunity Whitespace (High Demand, Low Supply)"
Delhi,India,French,38,3.6394736842105266,51.5,2266.5263157894738,2.3421052631578947,53.001315789473686,14000,38,0.543,509,7.465618860510806,66.839383954733,16.097626679341094,"🔥 High Opportunity Whitespace (High Demand, Low Supply)"
Delhi,India,Indian,56,3.4125,53.783928571428575,2222.714285714286,2.5357142857142856,58.56107142857143,14000,38,0.543,509,11.00196463654224,66.57089013798219,2.004122226460157,"⚔️ Red Ocean / Saturated Core (High Demand, High Supply)"
Delhi,India,Italian,30,3.4633333333333334,53.88666666666666,2565.0,2.8,64.41333333333334,14000,38,0.543,509,5.893909626719057,67.28400466168533,24.94878012692375,"🔥 High Opportunity Whitespace (High Demand, Low Supply)"
Delhi,India,Japanese,48,3.297916666666667,51.34166666666667,2348.7083333333335,2.3958333333333335,55.668958333333336,14000,38,0.543,509,9.430255402750491,64.79958651216174,6.9530753730350785,"📉 Declining / Overcrowded (Low Demand, High Supply)"
Delhi,India,Mediterranean,53,3.360377358490566,46.01698113207547,2443.132075471698,2.4339622641509435,53.875660377358486,14000,38,0.543,509,10.412573673870334,62.6101809214521,3.462752915505276,"📉 Declining / Overcrowded (Low Demand, High Supply)"
Delhi,India,Mexican,39,3.4333333333333336,49.135897435897434,2482.948717948718,2.923076923076923,66.05205128205128,14000,38,0.543,509,7.662082514734774,64.64764056487891,14.606864130765022,"🧪 Niche / Emerging Market (Low Demand, Low Supply)"
Delhi,India,Pizza,41,3.409756097560976,55.59268292682927,2465.682926829268,2.8048780487804876,63.59146341463415,14000,38,0.543,509,8.055009823182711,67.71718924643369,13.34874496521724,"🔥 High Opportunity Whitespace (High Demand, Low Supply)"
Delhi,India,Thai,31,3.480645161290323,60.980645161290326,2429.7419354838707,2.4516129032258065,58.34322580645161,14000,38,0.543,509,6.090373280943026,70.7999310851916,25.03155877145438,"🔥 High Opportunity Whitespace (High Demand, Low Supply)"
London,United Kingdom,American,45,3.4555555555555557,47.22666666666666,2667.4666666666667,2.1777777777777776,48.45133333333333,50000,90,0.837,520,8.653846153846153,64.00490523475261,9.972230856911757,"📉 Declining / Overcrowded (Low Demand, High Supply)"
London,United Kingdom,Brazilian,50,3.6719999999999997,49.518,2584.8,2.5,55.78,50000,90,0.837,520,9.615384615384617,66.37082476458235,6.414894623242968,"⚔️ Red Ocean / Saturated Core (High Demand, High Supply)"
London,United Kingdom,Burger,47,3.478723404255319,46.8531914893617,2640.0851063829787,2.404255319148936,53.18702127659574,50000,90,0.837,520,9.038461538461538,63.93147418055733,8.376688680611354,"📉 Declining / Overcrowded (Low Demand, High Supply)"
London,United Kingdom,Chinese,45,3.502222222222222,46.20888888888889,2727.9333333333334,2.422222222222222,53.84177777777778,50000,90,0.837,520,8.653846153846153,63.831848959600464,9.945267968353063,"📉 Declining / Overcrowded (Low Demand, High Supply)"
London,United Kingdom,French,31,3.4387096774193546,52.438709677419354,2327.7419354838707,2.2903225806451615,54.21225806451613,50000,90,0.837,520,5.961538461538462,66.17053225859644,24.14106647638289,"🔥 High Opportunity Whitespace (High Demand, Low Supply)"
London,United Kingdom,Indian,45,3.5644444444444447,53.36666666666667,2476.866666666667,2.533333333333333,54.59977777777778,50000,90,0.837,520,8.653846153846153,67.5435831573003,10.523571618099886,"⚔️ Red Ocean / Saturated Core (High Demand, High Supply)"
London,United Kingdom,Italian,47,3.3382978723404255,52.89574468085106,2510.446808510638,2.5319148936170213,57.937446808510636,50000,90,0.837,520,9.038461538461538,65.98478455447575,8.645725833085073,"⚔️ Red Ocean / Saturated Core (High Demand, High Supply)"
London,United Kingdom,Japanese,39,3.6230769230769235,51.1051282051282,2513.2820512820513,2.6153846153846154,58.08974358974359,50000,90,0.837,520,7.5,66.80096206614843,15.912727754099457,"🔥 High Opportunity Whitespace (High Demand, Low Supply)"
London,United Kingdom,Mediterranean,37,3.516216216216216,40.95675675675676,2688.7837837837837,2.4594594594594597,55.54027027027026,50000,90,0.837,520,7.115384615384615,61.25374074674053,16.4262169907543,"🧪 Niche / Emerging Market (Low Demand, Low Supply)"
London,United Kingdom,Mexican,40,3.655,58.335,2640.325,2.4,52.358000000000004,50000,90,0.837,520,7.6923076923076925,70.73026433139178,15.821129451970398,"🔥 High Opportunity Whitespace (High Demand, Low Supply)"
