City,Country,Total_Restaurants,Membership_Partners,Membership_Penetration_Pct,Avg_Price_Non_Member,Avg_Price_Member,Avg_Value_Score_Member,Avg_Loyalty_Member,Menu_Price_Inflation_Pct
Manchester,United Kingdom,499,112,22.44488977955912,69.1704723514212,75.18125714285715,4.9991071428571425,70.41917233453162,8.689813008649091
Osaka,Japan,525,116,22.095238095238095,0.36446819070904646,0.38061534482758624,5.083620689655172,70.38855072453259,4.4303207322206735
New York,USA,488,104,21.311475409836063,57.20174479166667,59.27403846153846,5.439423076923077,69.75810774653064,3.6227804609657364
London,United Kingdom,520,114,21.923076923076923,69.77967290640395,70.48903859649123,4.85,68.29652172468367,1.0165792563587495
Los Angeles,USA,492,103,20.934959349593495,56.06259640102827,55.169029126213594,4.941747572815535,69.52091726840723,-1.5938741981981186
Delhi,India,509,103,20.23575638506876,0.6958658128078818,0.678907572815534,5.349514563106796,69.3696123271642,-2.43699508012458
Sao Paulo,Brazil,493,90,18.255578093306287,9.88753399503722,9.61676,5.258888888888889,67.15931303559236,-2.7385389298053404
Mumbai,India,474,92,19.40928270042194,0.6913156020942408,0.6681808695652175,4.956521739130435,65.75635636445732,-3.346474315666669
Rio de Janeiro,Brazil,498,115,23.09236947791165,9.896630287206266,9.471333913043479,4.673043478260869,68.37683322329391,-4.297385259897308
Tokyo,Japan,502,99,19.721115537848604,0.3699598387096774,0.34348166666666674,5.034343434343435,69.44269529686295,-7.15702022283205
