City,Country,Weather_zone,Total_Restaurants,Avg_Base_Fee_USD,Avg_Peak_Fee_USD,Avg_Surge_Delta_USD,Avg_Peak_Multiplier,Max_Peak_Multiplier,Critical_Surge_Pct,High_Surge_Pct,Avg_Delivery_Time,Avg_Cancellation_Rate
Manchester,United Kingdom,Oceanic,335,6.147018507462687,10.917797826865673,4.770779319402985,1.7829850746268656,2.5,33.134328358208954,37.3134328358209,56.2,0.04995820895522388
Osaka,Japan,Humid subtropical,349,0.03162687679083095,0.0566233159025788,0.024996439111747853,1.7716045845272206,2.5,36.38968481375358,31.51862464183381,57.56446991404012,0.05016618911174785
Mumbai,India,Tropical wet and dry,296,0.05715810810810811,0.09946632567567568,0.042308217567567565,1.7609121621621622,2.5,35.13513513513514,35.13513513513514,55.101351351351354,0.05247297297297297
London,United Kingdom,Oceanic,334,6.918553293413174,12.028297964071857,5.109744670658682,1.7473952095808383,2.5,34.73053892215569,32.634730538922156,56.12874251497006,0.050817365269461075
Tokyo,Japan,Humid subtropical,306,0.0327128431372549,0.05652538496732026,0.023812541830065356,1.7445098039215687,2.49,32.02614379084967,36.27450980392157,53.60457516339869,0.0482843137254902
Los Angeles,USA,Mediterranean,306,5.104542483660131,8.942287908496732,3.837745424836602,1.7440522875816993,2.49,32.6797385620915,35.62091503267974,55.81699346405229,0.049620915032679735
New York,USA,Humid subtropical,323,5.056160990712074,8.931311455108359,3.875150464396285,1.7427863777089783,2.5,31.88854489164087,33.126934984520126,55.20743034055727,0.04879876160990712
Delhi,India,Humid subtropical,325,0.0626699076923077,0.10897398276923077,0.04630407507692308,1.7315692307692307,2.49,32.61538461538461,32.61538461538461,54.83076923076923,0.053643076923076925
Rio de Janeiro,Brazil,Tropical savanna,308,0.9657701298701299,1.6714988766233765,0.7057287467532467,1.722142857142857,2.49,28.8961038961039,36.688311688311686,53.62012987012987,0.04836688311688312
Sao Paulo,Brazil,Humid subtropical,305,0.9284577049180328,1.6176959409836065,0.6892382360655738,1.718622950819672,2.5,28.852459016393446,37.37704918032787,57.00327868852459,0.04597049180327869
